MSB	PRG	LSB	NME
105	000	000	Standrd2
105	008	000	RoomKit2
105	016	000	PowerKt2
105	024	000	DanceKit
105	025	000	Rave Kit
105	032	000	JazzKit2
105	040	000	BrushKt2
106	000	000	StStdKit
106	008	000	StRoomKt
106	016	000	StPwrKit
106	024	000	Rust Kit
106	025	000	Anal.Kt2
106	032	000	StJazzKt
106	040	000	SBrushKt
107	000	000	AmbStdrd
107	008	000	Amb.Room
107	016	000	GatedPwr
107	024	000	TechnoKt
107	025	000	BullyKit
107	032	000	Amb.Jazz
107	040	000	AmbBrush
097	000	000	Acou.Pno
097	000	001	AcouPnoK
097	000	002	Mild Pno
098	000	000	St.Pno 1
098	000	001	St.Pno1K
098	000	002	EuropePf
099	000	000	SD Piano
099	000	001	SDPianoK
099	000	002	Class Pf
097	001	000	Rock Pno
097	001	001	RockPnoK
098	001	000	St.Pno 2
098	001	001	St.Pno2K
099	001	000	EnhPiano
099	001	001	Enh.PnoK
097	002	000	EGrdPno2
097	002	001	EGrPno2K
098	002	000	SA Piano
098	002	001	SAPianoK
099	002	000	EnhElGrd
099	002	001	EnhEGrdK
097	003	000	OldHonky
097	003	001	OldHnkyK
098	003	000	St.Honky
098	003	001	StHonkyK
099	003	000	BrtHonky
099	003	001	BrtHnkyK
097	004	000	SftRhode
097	004	001	FatRhode
097	004	002	Rhodes K
097	004	003	WurlySft
098	004	000	TrmRhode
098	004	001	SwtTynes
098	004	002	Trm.Dyno
098	004	003	TrmWurly
099	004	000	Stage 73
099	004	001	NY Rhode
099	004	002	Phs.Dyno
099	004	003	Whirly
097	005	000	FM ElPno
097	005	001	SoftFMEP
097	005	002	SA ElPno
097	005	003	DXLegnd2
097	005	004	DXPhase2
098	005	000	HardFMEP
098	005	001	Brt.FMEP
098	005	002	BrtFMEP2
098	005	003	DXLegnd3
098	005	004	DXPhase3
099	005	000	ChorusEP
099	005	001	Phs.FMEP
099	005	002	Wah FMEP
099	005	003	EnhLegnd
099	005	004	PhasinEP
097	006	000	Hpschrd4
097	006	001	Hpschrd5
097	006	002	Hpschd4K
097	006	003	Hpschrd6
098	006	000	St.Hrpsi
098	006	001	StHrpsi3
098	006	002	StHrpsiK
098	006	003	StHrpsi2
099	006	000	EnhHrpsi
099	006	001	EnHrpsi3
099	006	002	EnHrpsiK
099	006	003	EnHrpsi2
097	007	000	AtkClavi
097	007	001	AnlClavi
098	007	000	AtkClv 2
098	007	001	AnlClv 2
099	007	000	CmpClavi
099	007	001	WahClavi
097	008	000	Celesta2
098	008	000	StCelest
099	008	000	CelestaK
097	009	000	Glocken2
098	009	000	St.Glock
099	009	000	TrmGlock
097	010	000	MusicBx2
098	010	000	StMusBox
099	010	000	Pan Box
097	011	000	Vibrafn2
097	011	001	Vibrfn2K
098	011	000	StVibrfn
098	011	001	StVbrfnK
099	011	000	TrmVbrfn
099	011	001	TrmVibrK
097	012	000	Marimba2
097	012	001	Marmba2K
098	012	000	StMarmba
098	012	001	StMrmbaK
099	012	000	EnhMrmba
099	012	001	EnMrmbaK
097	013	000	Xylofon2
098	013	000	StXylofn
099	013	000	Enh.Xylo
097	014	000	TubeBel2
097	014	001	ChchBel2
097	014	002	Carilln2
098	014	000	St.Tubul
098	014	001	StChurch
098	014	002	StCariln
099	014	000	TrmTubul
099	014	001	EchoChch
099	014	002	TrmCaril
097	015	000	Santur
098	015	000	StSantur
099	015	000	EnhSantr
